frequency_Hz,H_real,H_imag,H_magnitude,H_phase_deg,coherence,Gxx,Gyy,Gxy_real,Gxy_imag,valid
100.0,1.2475,0.12510000000000002,1.253756858405967,5.726508505087049,1.0,1.0,1.0,1.2475,0.12510000000000002,True
101.0,1.2475049999999999,0.12510100000000002,1.2537619332337377,5.726531176814692,1.0,1.0,1.0,1.2475049999999999,0.12510100000000002,True
102.0,1.24751,0.125102,1.2537670080617052,5.726553848358797,1.0,1.0,1.0,1.24751,0.125102,True
103.0,1.247515,0.12510300000000002,1.2537720828898689,5.726576519719374,1.0,1.0,1.0,1.247515,0.12510300000000002,True
104.0,1.24752,0.125104,1.2537771577182288,5.726599190896416,1.0,1.0,1.0,1.24752,0.125104,True
105.0,1.247525,0.125105,1.2537822325467847,5.726621861889931,1.0,1.0,1.0,1.247525,0.125105,True
106.0,1.24753,0.125106,1.2537873073755372,5.72664453269992,1.0,1.0,1.0,1.24753,0.125106,True
107.0,1.247535,0.125107,1.253792382204486,5.726667203326386,1.0,1.0,1.0,1.247535,0.125107,True
108.0,1.2475399999999999,0.125108,1.253797457033631,5.72668987376933,1.0,1.0,1.0,1.2475399999999999,0.125108,True
109.0,1.247545,0.125109,1.2538025318629722,5.726712544028753,1.0,1.0,1.0,1.247545,0.125109,True
110.0,1.24755,0.12511,1.25380760669251,5.72673521410466,1.0,1.0,1.0,1.24755,0.12511,True
111.0,1.247555,0.125111,1.253812681522244,5.726757883997051,1.0,1.0,1.0,1.247555,0.125111,True
112.0,1.24756,0.125112,1.2538177563521742,5.72678055370593,1.0,1.0,1.0,1.24756,0.125112,True
113.0,1.247565,0.125113,1.2538228311823008,5.726803223231298,1.0,1.0,1.0,1.247565,0.125113,True
114.0,1.24757,0.125114,1.2538279060126234,5.7268258925731566,1.0,1.0,1.0,1.24757,0.125114,True
115.0,1.2475749999999999,0.125115,1.2538329808431423,5.7268485617315115,1.0,1.0,1.0,1.2475749999999999,0.125115,True
116.0,1.24758,0.125116,1.2538380556738578,5.726871230706361,1.0,1.0,1.0,1.24758,0.125116,True
117.0,1.247585,0.125117,1.2538431305047693,5.726893899497708,1.0,1.0,1.0,1.247585,0.125117,True
118.0,1.24759,0.125118,1.2538482053358773,5.7269165681055565,1.0,1.0,1.0,1.24759,0.125118,True
119.0,1.247595,0.125119,1.2538532801671816,5.7269392365299066,1.0,1.0,1.0,1.247595,0.125119,True
120.0,1.2476,0.12512,1.2538583549986817,5.7269619047707625,1.0,1.0,1.0,1.2476,0.12512,True
121.0,1.2476049999999999,0.125121,1.2538634298303781,5.726984572828126,1.0,1.0,1.0,1.2476049999999999,0.125121,True
122.0,1.2476099999999999,0.125122,1.253868504662271,5.727007240701998,1.0,1.0,1.0,1.2476099999999999,0.125122,True
123.0,1.247615,0.125123,1.25387357949436,5.727029908392382,1.0,1.0,1.0,1.247615,0.125123,True
124.0,1.24762,0.125124,1.2538786543266456,5.727052575899278,1.0,1.0,1.0,1.24762,0.125124,True
125.0,1.247625,0.12512500000000001,1.2538837291591274,5.727075243222692,1.0,1.0,1.0,1.247625,0.12512500000000001,True
126.0,1.24763,0.12512600000000001,1.2538888039918055,5.727097910362624,1.0,1.0,1.0,1.24763,0.12512600000000001,True
127.0,1.247635,0.12512700000000002,1.2538938788246796,5.727120577319075,1.0,1.0,1.0,1.247635,0.12512700000000002,True
128.0,1.2476399999999999,0.12512800000000002,1.2538989536577496,5.727143244092051,1.0,1.0,1.0,1.2476399999999999,0.12512800000000002,True
